TIME;ecu.rpm;ecu.clt;c_clt2;c_clt3;c_clt4;c_oilT2;ecu.oilTemp;c_przeplyw_prawy;c_przeplyw_wymiennik
264.280;0;76.000;50;58;58;73;82.000;5;148
264.320;0;76.000;50;58;58;73;82.000;5;148
264.360;0;76.000;50;58;58;73;82.000;5;148
264.400;0;76.000;50;58;58;73;82.000;5;148
264.440;0;76.000;50;58;58;73;82.000;5;148
264.480;0;76.000;50;58;58;73;82.000;5;148
264.520;0;76.000;50;58;58;73;82.000;5;148
264.560;0;76.000;50;58;58;73;82.000;5;148
264.600;0;76.000;50;58;58;73;82.000;5;148
264.640;0;76.000;50;58;58;73;82.000;5;148
264.680;0;76.000;50;58;58;73;82.000;5;148
264.720;0;76.000;50;58;58;73;82.000;5;148
264.760;0;76.000;50;58;58;73;82.000;5;148
264.800;0;76.000;50;58;58;73;82.000;5;148
264.840;0;76.000;50;58;58;73;82.000;5;148
264.880;0;76.000;50;58;58;73;82.000;5;148
264.920;0;76.000;50;58;58;73;82.000;5;148
264.960;0;76.000;50;58;58;73;82.000;5;148
265.000;0;76.000;50;58;58;73;82.000;5;148
265.040;0;76.000;50;58;58;73;82.000;5;148
265.080;0;76.000;50;58;58;73;82.000;5;148
265.120;0;76.000;50;58;58;73;82.000;5;148
265.160;0;76.000;50;58;58;73;82.000;5;148
265.200;0;76.000;50;58;58;73;82.000;5;148
265.240;0;76.000;49;54;54;67;82.000;5;0
265.280;0;76.000;49;54;54;67;82.000;5;0
265.320;0;76.000;49;54;54;67;82.000;5;0
265.360;191;76.000;49;54;54;67;82.000;5;0
265.400;191;76.000;49;54;54;67;82.000;5;0
265.440;191;76.000;49;55;55;69;82.000;5;0
265.480;191;76.000;49;55;55;69;82.000;5;0
265.520;191;76.000;49;55;55;69;82.000;5;0
265.560;353;76.000;49;55;55;69;82.000;5;0
265.600;353;76.000;49;55;55;69;82.000;5;0
265.640;353;76.000;49;55;55;68;82.000;5;0
265.680;353;76.000;49;55;55;68;82.000;5;0
265.720;334;76.000;49;55;55;68;82.000;5;0
265.760;334;76.000;49;55;55;68;82.000;5;0
265.800;334;76.000;49;55;55;68;82.000;5;0
265.840;334;76.000;49;55;55;69;82.000;5;0
265.880;334;76.000;49;55;55;69;82.000;5;0
265.920;345;76.000;49;56;56;70;82.000;5;0
265.960;345;76.000;49;56;56;70;82.000;5;0
266.000;345;76.000;49;56;56;70;82.000;5;0
266.040;345;76.000;49;56;56;69;82.000;5;0
266.080;340;76.000;49;56;56;69;82.000;5;0
266.120;340;76.000;49;56;56;70;82.000;5;0
266.160;340;76.000;49;56;56;70;82.000;5;0
266.200;444;76.000;49;56;56;70;82.000;5;0
266.240;444;76.000;49;56;56;70;82.000;5;30
266.280;1011;76.000;49;56;56;70;82.000;5;30
266.320;1188;76.000;49;57;57;71;82.000;5;30
266.360;1188;76.000;49;57;57;71;82.000;5;30
266.400;632;76.000;49;57;57;71;82.000;5;30
266.440;632;76.000;49;56;56;70;82.000;5;30
266.480;632;76.000;49;56;56;70;82.000;5;30
266.520;632;76.000;50;57;57;71;82.000;5;30
266.560;416;76.000;50;57;57;71;82.000;5;30
266.600;416;76.000;50;57;57;71;82.000;5;30
266.640;416;76.000;50;58;58;73;82.000;5;30
266.680;416;76.000;50;58;58;73;82.000;5;30
266.720;422;76.000;50;58;58;73;82.000;5;30
266.760;422;76.000;50;58;58;73;82.000;5;30
266.800;644;76.000;50;58;58;73;82.000;5;30
266.840;644;76.000;50;58;58;73;82.000;5;30
266.880;644;76.000;50;58;58;73;82.000;5;30
266.920;612;76.000;50;58;58;73;82.000;5;30
266.960;612;76.000;50;58;58;73;82.000;5;30
267.000;612;76.000;50;58;58;73;82.000;5;30
267.040;612;76.000;50;58;58;73;82.000;5;30
267.080;612;76.000;50;58;58;73;82.000;5;30
267.120;612;76.000;50;58;58;73;82.000;5;30
267.160;612;76.000;50;58;58;73;82.000;5;30
267.200;612;76.000;50;58;58;73;82.000;5;30
267.240;0;76.000;50;58;58;73;82.000;5;30
267.280;0;76.000;50;58;58;73;82.000;5;30
267.320;0;76.000;50;58;58;73;82.000;5;30
267.360;0;76.000;50;58;58;73;82.000;5;30
267.400;0;76.000;50;58;58;73;82.000;5;30
267.440;0;76.000;50;50;50;62;82.000;5;30
267.480;0;76.000;50;50;50;62;82.000;5;56
267.520;0;76.000;49;55;55;68;82.000;5;56
267.560;0;76.000;49;55;55;68;82.000;5;56
267.600;0;76.000;49;55;55;68;82.000;5;56
267.640;256;76.000;49;55;55;69;82.000;5;56
267.680;256;76.000;49;55;55;69;82.000;5;8
267.720;256;76.000;49;55;55;69;82.000;5;8
267.760;256;76.000;49;55;55;69;82.000;5;8
267.800;355;76.000;49;55;55;69;82.000;5;8
267.840;355;76.000;49;55;55;69;82.000;5;8
267.880;355;76.000;49;55;55;69;82.000;5;55
267.920;601;76.000;49;56;56;70;82.000;5;55
267.960;601;76.000;49;56;56;70;82.000;5;55
268.000;601;76.000;49;56;56;70;82.000;5;55
268.040;526;76.000;49;56;56;70;82.000;5;55
268.080;1236;76.000;49;56;56;70;82.000;5;83
268.120;1637;76.000;49;57;57;70;82.000;5;83
268.160;2229;76.000;49;57;57;70;82.000;5;83
268.200;2305;76.000;49;57;57;70;82.000;5;83
268.240;2332;76.000;49;57;57;71;82.000;5;83
268.280;2358;76.000;49;57;57;71;82.000;0;81
268.320;2446;76.000;50;57;57;71;82.000;0;81
268.360;2753;76.000;50;57;57;71;82.000;7;97
268.400;3030;76.000;50;57;57;71;82.000;7;97
268.440;3132;76.000;50;58;58;72;82.000;7;97
268.480;3297;76.000;50;58;58;72;82.000;23;109
268.520;3283;76.000;50;58;58;72;82.000;23;109
268.560;3423;76.000;50;58;58;72;82.000;33;59
268.600;3771;76.000;50;58;58;72;82.000;33;59
268.640;4005;76.000;50;58;58;72;82.000;33;59
268.680;4170;76.000;50;58;58;72;82.000;41;34
268.720;4330;76.000;50;58;58;72;82.000;41;34
268.760;4573;76.000;50;58;58;72;82.000;41;34
268.800;4667;76.000;50;58;58;72;82.000;51;156
268.840;4697;76.000;50;58;58;72;82.000;51;156
268.880;4724;76.000;50;58;58;72;82.000;57;19
268.920;4626;76.000;50;58;58;72;82.000;57;19
268.960;4477;76.000;50;58;58;72;82.000;57;19
269.000;4327;76.000;50;58;58;72;82.000;61;22
269.040;4204;76.000;50;58;58;72;82.000;61;22
269.080;4037;76.000;50;58;58;72;82.000;57;22
269.120;3862;76.000;50;58;58;72;82.000;57;22
269.160;3711;76.000;50;58;58;72;82.000;57;22
269.200;3575;76.000;50;58;58;72;82.000;51;17
269.240;3406;76.000;50;58;58;72;82.000;51;17
269.280;3321;76.000;50;58;58;72;82.000;49;28
269.320;3220;76.000;51;58;58;72;82.000;49;28
269.360;3075;76.000;51;58;58;72;82.000;49;28
269.400;3075;76.000;51;58;58;72;82.000;44;25
269.440;2881;76.000;51;58;58;72;82.000;44;25
269.480;2804;76.000;51;58;58;72;82.000;40;47
269.520;2777;76.000;51;58;58;72;82.000;40;47
269.560;2782;76.000;51;58;58;72;82.000;40;47
269.600;2689;76.000;51;58;58;72;82.000;38;18
269.640;2694;76.000;51;58;58;71;82.000;38;18
