time;rpm;radiator_cooling_power;exchanger_cooling_power;oil_heat_removed;engine_heat_generated;temp_radiator_in;temp_radiator_out;temp_exchanger_in;temp_exchanger_out;temp_oil_in;temp_oil_out;water_overtemp;oil_overtemp;overheating
264.280;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.320;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.360;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.400;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.440;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.480;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.520;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.560;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.600;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.640;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.680;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.720;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.760;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.800;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.840;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.880;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.920;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
264.960;0.000;3043.651;0.000;0.000;0.000;76.000;50.000;58.000;58.000;74.667;82.767;0;0;0
